first_name;last_name;full_name;code;position;lettre
Reggie;Perry;Reggie Perry;perryre;F;p
Richaun;Holmes;Richaun Holmes;holmeri;F;h
Ricky;Rubio;Ricky Rubio;rubiori;G;r
Robert;Covington;Robert Covington;covinro;F;c
Robert;Williams;Robert Williams;williro;PF;w
Robert;Woodard;Robert Woodard;woodaro;G;w
Robin;Lopez;Robin Lopez;lopezro;FC;l
Rodions;Kurucs;Rodions Kurucs;kurucro;SF;k
Rodney;Hood;Rodney Hood;hoodro;F;h
Rodney;McGruder;Rodney McGruder;mcgruro;SG;m
Romeo;Langford;Romeo Langford;langfro;SG;l
Royce;O'Neale;Royce O'Neale;o'nearo;SF;o
Rudy;Gay;Rudy Gay;gayru;SF;g
Rudy;Gobert;Rudy Gobert;goberru;C;g
Rui;Hachimura;Rui Hachimura;hachiru;F;h
Russell;Westbrook;Russell Westbrook;westbru;G;w
Ryan;Arcidiacono;Ryan Arcidiacono;arcidry;G;a
Saben;Lee;Saben Lee;leesa;PG;l
Saddiq;Bey;Saddiq Bey;beysa;F;b
Sam;Merrill;Sam Merrill;merrisa;G;m
Sean;McDermott;Sean McDermott;mcderse;SG;m
Sekou;Doumbouya;Sekou Doumbouya;doumbse;F;d
Semi;Ojeleye;Semi Ojeleye;ojelese;SF;o
Serge;Ibaka;Serge Ibaka;ibakase;C;i
Seth;Curry;Seth Curry;curryse;G;c
Shai;Gilgeous-Alexander;Shai Gilgeous-Alexander;gilgesh;PG;g
Shake;Milton;Shake Milton;miltosh;SG;m
Shaquille;Harrison;Shaquille Harrison;harrish;G;h
Sindarius;Thornwell;Sindarius Thornwell;thornsi;SG;t
Skylar;Mays;Skylar Mays;mayssk;PG;m
Solomon;Hill;Solomon Hill;hillso;SF;h
Spencer;Dinwiddie;Spencer Dinwiddie;dinwisp;PG;d
Stanley;Johnson;Stanley Johnson;johnsst;G;j
Stephen;Curry;Stephen Curry;curryst;G;c
Sterling;Brown;Sterling Brown;brownst;G;b
Steven;Adams;Steven Adams;adamsst;C;a
Svi;Mykhailiuk;Svi Mykhailiuk;mykhasv;SF;m
T.J.;McConnell;T.J. McConnell;mccont.;G;m
T.J.;Warren;T.J. Warren;warret.;F;w
Tacko;Fall;Tacko Fall;fallta;C;f
Taj;Gibson;Taj Gibson;gibsota;F;g
Talen;Horton-Tucker;Talen Horton-Tucker;hortota;SF;h
Taurean;Prince;Taurean Prince;princta;F;p
Terance;Mann;Terance Mann;mannte;SG;m
Terence;Davis;Terence Davis;daviste;SF;d
Terrance;Ferguson;Terrance Ferguson;fergute;SG;f
Terrence;Ross;Terrence Ross;rosste;SF;r
Terry;Rozier;Terry Rozier;roziete;G;r
Thaddeus;Young;Thaddeus Young;youngth;F;y
Thanasis;Antetokounmpo;Thanasis Antetokounmpo;antetth;SF;a
Theo;Maledon;Theo Maledon;maledth;PG;m
Theo;Pinson;Theo Pinson;pinsoth;SG;p
Thomas;Bryant;Thomas Bryant;bryanth;C;b
Tim;Hardaway;Tim Hardaway;hardati;SG;h
Timothe;Luwawu-Cabarrot;Timothe Luwawu-Cabarrot;luwawti;F;l
Tobias;Harris;Tobias Harris;harrito;F;h
Tomas;Satoransky;Tomas Satoransky;satorto;PG;s
Tony;Bradley;Tony Bradley;bradlto;C;b
Tony;Snell;Tony Snell;snellto;G;s
Torrey;Craig;Torrey Craig;craigto;GF;c
Trae;Young;Trae Young;youngtr;PG;y
Tre;Jones;Tre Jones;jonestr;PG;j
Tremont;Waters;Tremont Waters;watertr;PG;w
Trent;Forrest;Trent Forrest;forretr;SG;f
Trevor;Ariza;Trevor Ariza;arizatr;SF;a
Trey;Burke;Trey Burke;burketr;G;b
Trey;Lyles;Trey Lyles;lylestr;SF;l
Tristan;Thompson;Tristan Thompson;thomptr;F;t
Troy;Brown,;Troy Brown,;browntr;SF;b
Ty;Jerome;Ty Jerome;jeromty;PG;j
Tyler;Bey;Tyler Bey;beyty;PF;b
Tyler;Herro;Tyler Herro;herroty;SG;h
Tyler;Johnson;Tyler Johnson;johnsty;G;j
Tyrell;Terry;Tyrell Terry;terryty;PG;t
Tyrese;Haliburton;Tyrese Haliburton;halibty;PG;h
Tyrese;Maxey;Tyrese Maxey;maxeyty;PG;m
Ty-Shon;Alexander;Ty-Shon Alexander;alexaty;SG;a
Tyus;Jones;Tyus Jones;jonesty;PG;j
Udoka;Azubuike;Udoka Azubuike;azubuud;C;a
Udonis;Haslem;Udonis Haslem;hasleud;FC;h
Vernon;Carey,;Vernon Carey,;careyve;PF;c
Victor;Oladipo;Victor Oladipo;oladivi;G;o
Vincent;Poirier;Vincent Poirier;poirivi;C;p
Vlatko;Cancar;Vlatko Cancar;cancavl;SF;c
Wayne;Ellington;Wayne Ellington;ellinwa;SG;e
Wendell;Carter,;Wendell Carter,;cartewe;PF;c
Wenyen;Gabriel;Wenyen Gabriel;gabriwe;PF;g
Wesley;Iwundu;Wesley Iwundu;iwundwe;F;i
Wesley;Matthews;Wesley Matthews;matthwe;G;m
Will;Barton;Will Barton;bartowi;GF;b
Will;Magnay;Will Magnay;magnawi;C;m
Willie;Cauley-Stein;Willie Cauley-Stein;caulewi;C;c
Willy;Hernangomez;Willy Hernangomez;hernawi;C;h
Xavier;Tillman,;Xavier Tillman,;tillmxa;PF;t
Yuta;Watanabe;Yuta Watanabe;watanyu;F;w
Zach;Collins;Zach Collins;colliza;C;c
Zach;LaVine;Zach LaVine;lavinza;SG;l
Zeke;Nnaji;Zeke Nnaji;nnajize;PF;n
Zion;Williamson;Zion Williamson;willizi;PF;w
