;full_name;Tm;POS;GS
261;Bruno Fernando;bos;F;0.0
262;Sam Hauser;bos;SF;0.0
263;Al Horford;bos;C;1.0
264;Enes Kanter;bos;C;0.0
265;Romeo Langford;bos;SG;0.0
266;Aaron Nesmith;bos;SF;0.0
267;Jabari Parker;bos;PF;0.0
268;Payton Pritchard;bos;PG;0.0
269;Josh Richardson;bos;SG;0.0
270;Dennis Schroder;bos;PG;0.0
271;Marcus Smart;bos;PG;1.0
272;Jayson Tatum;bos;SF;1.0
273;Brodric Thomas;bos;G;0.0
274;Cam Thomas;bkn;SG;0.0
275;Matt Thomas;chi;SG;0.0
276;Robert WilliamsI;bos;C;1.0
277;LaMarcus Aldridge;bkn;F;0.0
278;DeAndre Bembry;bkn;SG;0.0
279;Jevon Carter;bkn;PG;1.0
280;Wendell Carter;orl;C;1.0
281;Nic Claxton;bkn;PF;0.0
282;David Duke;bkn;G;0.0
283;Kevin Durant;bkn;PF;1.0
284;Kessler Edwards;bkn;SF;1.0
285;Anthony Edwards;min;SF;1.0
286;Blake Griffin;bkn;PF;1.0
287;James Harden;bkn;SG;1.0
288;Joe Harris;bkn;SF;1.0
289;Joe Harris;bkn;SF;1.0
290;Tobias Harris;phi;PF;1.0
291;Tobias Harris;phi;PF;1.0
292;Gary Harris;orl;SG;1.0
293;Gary Harris;orl;SG;1.0
294;Kyrie Irving;bkn;PG;0.0
295;Patty Mills;bkn;PG;0.0
296;Paul Millsap;bkn;PF;0.0
297;DayRon Sharpe;bkn;C;0.0
298;Udoka Azubuike;utah;C;0.0
299;Jared Butler;utah;SG;1.0
300;Jimmy Butler;mia;SF;1.0
301;Jordan Clarkson;utah;PG;0.0
302;Mike Conley;utah;PG;1.0
303;Malik Fitts;utah;F;0.0
304;Trent Forrest;utah;SG;0.0
305;Rudy Gay;utah;SF;0.0
306;Rudy Gobert;utah;C;1.0
307;Elijah Hughes;utah;SF;0.0
308;Joe Ingles;utah;SG;0.0
309;Donovan Mitchell;utah;SG;1.0
310;Davion Mitchell;sac;PG;1.0
311;Royce ONeale;utah;PF;1.0
312;Miye Oni;utah;SG;0.0
313;Eric Paschall;utah;F;0.0
314;Hassan Whiteside;utah;C;0.0
