;Key;annee;cluster
349;Christian Wood;2022;1
350;Chuma Okeke;2021;4
351;Chuma Okeke;2022;4
352;Clint Capela;2020;1
353;Clint Capela;2021;1
354;Clint Capela;2022;1
355;Coby White;2020;4
356;Coby White;2021;1
357;Coby White;2022;4
358;Cody Martin;2020;4
359;Cody Martin;2021;4
360;Cody Martin;2022;4
361;Cody Zeller;2020;1
362;Cody Zeller;2021;4
363;Cody Zeller;2022;0
364;Cole Anthony;2021;3
365;Cole Anthony;2022;3
366;Collin Sexton;2020;3
367;Collin Sexton;2021;3
368;Collin Sexton;2022;3
369;Corey Kispert;2022;0
370;Cory Joseph;2020;1
371;Cory Joseph;2021;2
372;Cory Joseph;2022;1
373;DAngelo Russell;2020;3
374;DAngelo Russell;2021;3
375;DAngelo Russell;2022;3
376;DJ Augustin;2020;4
377;DJ Augustin;2021;4
378;DJ Augustin;2022;4
379;DJ Wilson;2020;4
380;DJ Wilson;2021;0
381;DJ Wilson;2022;2
382;Daishen Nix;2022;4
383;Dalano Banton;2022;4
384;Damian Lillard;2020;3
385;Damian Lillard;2021;3
386;Damian Lillard;2022;3
387;Damion Lee;2020;1
388;Damion Lee;2021;1
389;Damion Lee;2022;4
390;Daniel Gafford;2020;1
391;Daniel Gafford;2021;4
392;Daniel Gafford;2022;3
393;Daniel Oturu;2021;0
394;Daniel Oturu;2022;4
395;Daniel Theis;2020;1
396;Daniel Theis;2021;4
397;Daniel Theis;2022;4
398;Danilo Gallinari;2020;1
399;Danilo Gallinari;2021;4
400;Danilo Gallinari;2022;4
401;Danny Green;2020;1
402;Danny Green;2021;1
403;Danny Green;2022;1
404;Dante Exum;2020;1
405;Dante Exum;2021;1
406;Danuel House;2020;1
407;Danuel House;2021;1
408;Danuel House;2022;4
409;Dario Saric;2020;1
410;Dario Saric;2021;4
411;Darius Bazley;2020;4
412;Darius Bazley;2021;1
413;Darius Bazley;2022;4
414;Darius Garland;2021;1
415;Darius Garland;2022;3
416;David Duke;2022;2
417;David Nwaba;2020;4
418;David Nwaba;2021;4
419;David Nwaba;2022;4
420;Davion Mitchell;2022;4
421;Davis Bertans;2020;4
422;Davis Bertans;2021;4
423;Davis Bertans;2022;0
424;DayRon Sharpe;2022;0
425;DeAaron Fox;2020;3
426;DeAaron Fox;2021;3
427;DeAaron Fox;2022;3
428;DeAndre Bembry;2020;4
429;DeAndre Bembry;2021;4
430;DeAndre Bembry;2022;4
431;DeAndre Hunter;2020;3
432;DeAndre Hunter;2021;1
433;DeAndre Hunter;2022;1
434;DeAndre Jordan;2020;4
435;DeAndre Jordan;2021;1
436;DeAndre Jordan;2022;4
437;DeAnthony Melton;2020;4
438;DeAnthony Melton;2021;4
439;DeAnthony Melton;2022;1
440;DeMar DeRozan;2020;3
441;DeMar DeRozan;2021;3
442;DeMar DeRozan;2022;3
443;DeMarcus Cousins;2021;4
444;DeMarcus Cousins;2022;4
445;Dean Wade;2020;4
446;Dean Wade;2021;4
447;Dean Wade;2022;4
448;Deandre Ayton;2020;1
449;Deandre Ayton;2021;1
450;Deandre Ayton;2022;4
451;Dejounte Murray;2020;3
452;Dejounte Murray;2021;3
453;Dejounte Murray;2022;3
454;Delon Wright;2020;1
455;Delon Wright;2021;3
456;Delon Wright;2022;1
457;Deni Avdija;2021;1
458;Deni Avdija;2022;4
459;Dennis Schroder;2020;4
460;Dennis Schroder;2021;3
461;Dennis Schroder;2022;4
462;Dennis Smith;2020;4
463;Dennis Smith;2021;4
464;Dennis Smith;2022;1
465;Denzel Valentine;2020;4
466;Denzel Valentine;2021;4
467;Denzel Valentine;2022;4
468;Derrick Favors;2020;1
469;Derrick Favors;2021;0
470;Derrick Favors;2022;1
471;Derrick Jones;2020;4
472;Derrick Jones;2021;1
473;Derrick Jones;2022;4
474;Derrick Rose;2020;1
475;Derrick Rose;2021;4
476;Derrick Rose;2022;4
477;Derrick White;2020;1
478;Derrick White;2021;3
479;Derrick White;2022;3
480;Desmond Bane;2021;3
481;Desmond Bane;2022;1
482;Devin Booker;2020;3
483;Devin Booker;2021;3
484;Devin Booker;2022;3
485;Devin Vassell;2021;4
