;advers;age;cluster
275;Venus Williams;40.7611225188;9
276;Venus Williams;40.8651608487;9
277;Venus Williams;40.9144421629;9
278;Venus Williams;40.933607118400005;9
279;Venus Williams;40.9527720739;9
280;Venus Williams;41.029431896;9
281;Venus Williams;41.18275154;9
282;Serena Williams;32.0684462697;15
283;Serena Williams;32.0684462697;15
284;Serena Williams;32.0684462697;15
285;Serena Williams;34.6557152635;15
286;Serena Williams;34.6557152635;15
287;Serena Williams;34.6557152635;15
288;Serena Williams;34.6557152635;15
289;Serena Williams;34.6557152635;15
290;Serena Williams;34.6557152635;15
291;Serena Williams;34.7515400411;15
292;Serena Williams;34.7515400411;15
293;Serena Williams;34.7515400411;15
294;Serena Williams;34.7515400411;15
295;Serena Williams;34.7515400411;15
296;Serena Williams;34.7515400411;15
297;Serena Williams;34.7515400411;15
298;Serena Williams;34.924024640700004;15
299;Serena Williams;34.924024640700004;15
300;Serena Williams;34.924024640700004;15
301;Serena Williams;34.924024640700004;15
302;Serena Williams;34.924024640700004;15
303;Serena Williams;34.3107460643;15
304;Serena Williams;34.3107460643;15
305;Serena Williams;34.3107460643;15
306;Serena Williams;34.3107460643;15
307;Serena Williams;34.3107460643;15
308;Serena Williams;34.3107460643;15
309;Serena Williams;34.4449007529;15
310;Serena Williams;34.4449007529;15
311;Serena Williams;34.4449007529;15
312;Serena Williams;34.4449007529;15
313;Serena Williams;34.4449007529;15
314;Serena Williams;34.483230663899995;15
315;Serena Williams;34.483230663899995;15
316;Serena Williams;34.6173853525;15
317;Serena Williams;34.6173853525;15
318;Serena Williams;34.6173853525;15
319;Serena Williams;34.6173853525;15
320;Serena Williams;34.6173853525;15
321;Serena Williams;34.8665297741;15
322;Serena Williams;34.8665297741;15
323;Serena Williams;34.6557152635;15
324;Serena Williams;34.924024640700004;15
325;Serena Williams;34.3107460643;15
326;Serena Williams;34.4449007529;15
327;Serena Williams;34.483230663899995;15
328;Serena Williams;34.8665297741;15
329;Serena Williams;35.2689938398;15
330;Serena Williams;35.307323750900004;15
331;Serena Williams;35.307323750900004;15
332;Serena Williams;35.307323750900004;15
333;Serena Williams;35.307323750900004;15
334;Serena Williams;35.307323750900004;15
335;Serena Williams;35.307323750900004;15
336;Serena Williams;35.307323750900004;15
337;Serena Williams;35.2689938398;15
338;Serena Williams;36.6680355921;15
339;Serena Williams;36.6680355921;15
340;Serena Williams;36.6680355921;15
341;Serena Williams;36.7638603696;15
342;Serena Williams;36.7638603696;15
343;Serena Williams;36.7638603696;15
344;Serena Williams;36.7638603696;15
345;Serena Williams;36.7638603696;15
346;Serena Williams;36.7638603696;15
347;Serena Williams;36.9171800137;15
348;Serena Williams;36.9171800137;15
349;Serena Williams;36.9171800137;15
350;Serena Williams;36.9171800137;15
351;Serena Williams;36.9171800137;15
352;Serena Williams;36.9171800137;15
353;Serena Williams;36.438056125900005;15
354;Serena Williams;36.438056125900005;15
355;Serena Williams;36.8788501027;15
356;Serena Williams;36.8405201916;15
357;Serena Williams;36.7638603696;15
358;Serena Williams;36.9171800137;15
359;Serena Williams;36.438056125900005;15
360;Serena Williams;36.476386037;15
361;Serena Williams;36.8788501027;15
362;Serena Williams;37.8562628337;15
363;Serena Williams;37.8562628337;15
364;Serena Williams;37.8562628337;15
365;Serena Williams;37.8562628337;15
366;Serena Williams;37.6646132786;15
367;Serena Williams;37.6646132786;15
368;Serena Williams;37.7604380561;15
369;Serena Williams;37.7604380561;15
370;Serena Williams;37.7604380561;15
371;Serena Williams;37.7604380561;15
372;Serena Williams;37.7604380561;15
373;Serena Williams;37.7604380561;15
374;Serena Williams;37.9137577002;15
375;Serena Williams;37.9137577002;15
376;Serena Williams;37.9137577002;15
377;Serena Williams;37.9137577002;15
378;Serena Williams;37.9137577002;15
379;Serena Williams;37.9137577002;15
380;Serena Williams;37.3004791239;15
381;Serena Williams;37.3004791239;15
382;Serena Williams;37.3004791239;15
383;Serena Williams;37.3004791239;15
384;Serena Williams;37.4346338125;15
385;Serena Williams;37.4729637235;15
386;Serena Williams;37.6262833676;15
387;Serena Williams;37.8562628337;15
388;Serena Williams;37.6646132786;15
389;Serena Williams;37.7604380561;15
390;Serena Williams;37.9137577002;15
391;Serena Williams;37.3004791239;15
392;Serena Williams;37.4346338125;15
393;Serena Williams;38.2778918549;15
394;Serena Williams;38.2778918549;15
395;Serena Williams;38.2778918549;15
396;Serena Williams;38.2778918549;15
397;Serena Williams;38.2778918549;15
398;Serena Williams;38.3162217659;15
399;Serena Williams;38.3162217659;15
400;Serena Williams;38.8720054757;15
401;Serena Williams;38.8720054757;15
402;Serena Williams;38.9103353867;15
403;Serena Williams;38.9295003422;15
404;Serena Williams;38.9295003422;15
405;Serena Williams;38.9295003422;15
406;Serena Williams;38.9295003422;15
407;Serena Williams;38.9295003422;15
408;Serena Williams;39.0061601643;15
409;Serena Williams;38.365503080100005;15
410;Serena Williams;38.3162217659;15
411;Serena Williams;38.8720054757;15
412;Serena Williams;38.9103353867;15
413;Serena Williams;38.9295003422;15
414;Serena Williams;38.365503080100005;15
415;Serena Williams;39.3483915127;15
416;Serena Williams;39.3483915127;15
417;Serena Williams;39.3483915127;15
418;Serena Williams;39.370294319;15
419;Serena Williams;39.370294319;15
420;Serena Williams;39.370294319;15
421;Serena Williams;39.370294319;15
422;Serena Williams;39.370294319;15
423;Serena Williams;39.6386036961;15
424;Serena Williams;39.6769336071;15
425;Serena Williams;39.6769336071;15
426;Serena Williams;39.6769336071;15
427;Serena Williams;39.3483915127;15
428;Serena Williams;39.370294319;15
429;Serena Williams;39.619438740599996;15
430;Serena Williams;39.6386036961;15
431;Serena Williams;39.6769336071;15
432;Serena Williams;39.7535934292;15
433;Virginie Razzano;33.0130047912;10
434;Virginie Razzano;33.0130047912;10
435;Virginie Razzano;33.0130047912;10
436;Virginie Razzano;32.955509924699996;10
437;Virginie Razzano;33.0321697467;10
438;Virginie Razzano;33.0130047912;10
439;Virginie Razzano;32.955509924699996;10
440;Virginie Razzano;33.0321697467;10
441;Virginie Razzano;33.3004791239;10
442;Francesca Schiavone;36.3175906913;4
443;Francesca Schiavone;36.2600958248;4
444;Francesca Schiavone;35.780971937;4
445;Francesca Schiavone;35.780971937;4
446;Francesca Schiavone;36.1067761807;4
447;Francesca Schiavone;36.1067761807;4
448;Francesca Schiavone;36.0492813142;4
449;Francesca Schiavone;36.0109514031;4
450;Francesca Schiavone;35.6468172485;4
451;Francesca Schiavone;35.6468172485;4
452;Francesca Schiavone;35.6468172485;4
453;Francesca Schiavone;35.6468172485;4
454;Francesca Schiavone;35.6468172485;4
455;Francesca Schiavone;36.3175906913;4
456;Francesca Schiavone;36.2600958248;4
457;Francesca Schiavone;35.6851471595;4
458;Francesca Schiavone;35.531827515399996;4
459;Francesca Schiavone;35.780971937;4
460;Francesca Schiavone;36.1067761807;4
461;Francesca Schiavone;36.0492813142;4
462;Francesca Schiavone;35.97262149210001;4
463;Francesca Schiavone;35.9151266256;4
464;Francesca Schiavone;36.0109514031;4
465;Francesca Schiavone;36.1834360027;4
466;Francesca Schiavone;35.742642026;4
467;Francesca Schiavone;35.8767967146;4
468;Francesca Schiavone;35.8138261465;4
469;Francesca Schiavone;36.7967145791;4
470;Francesca Schiavone;36.7967145791;4
471;Francesca Schiavone;36.7967145791;4
472;Francesca Schiavone;36.7967145791;4
473;Francesca Schiavone;36.7967145791;4
474;Francesca Schiavone;36.8542094456;4
475;Francesca Schiavone;36.8542094456;4
476;Francesca Schiavone;36.8542094456;4
477;Francesca Schiavone;36.8542094456;4
478;Francesca Schiavone;36.9883641342;4
479;Francesca Schiavone;37.0266940452;4
480;Francesca Schiavone;36.6379192334;4
481;Francesca Schiavone;37.1033538672;4
482;Francesca Schiavone;36.8542094456;4
483;Francesca Schiavone;36.7775496235;4
484;Francesca Schiavone;36.547570157399996;4
485;Francesca Schiavone;36.9883641342;4
486;Francesca Schiavone;36.605065024;4
487;Francesca Schiavone;36.9308692676;4
488;Francesca Schiavone;37.0266940452;4
489;Francesca Schiavone;37.1800136893;4
490;Francesca Schiavone;36.5667351129;4
491;Francesca Schiavone;36.681724846;4
492;Francesca Schiavone;36.700889801500004;4
493;Francesca Schiavone;37.0075290897;4
494;Francesca Schiavone;36.8733744011;4
495;Francesca Schiavone;36.6379192334;4
496;Francesca Schiavone;37.9849418207;4
497;Francesca Schiavone;38.0616016427;4
498;Francesca Schiavone;37.9274469541;4
499;Francesca Schiavone;37.5633127995;4
500;Francesca Schiavone;37.8891170431;4
501;Vera Zvonareva;33.0485968515;10
502;Vera Zvonareva;33.0485968515;10
503;Vera Zvonareva;33.0485968515;10
504;Vera Zvonareva;33.0485968515;10
505;Vera Zvonareva;34.045174538000005;10
506;Vera Zvonareva;33.8535249829;10
507;Vera Zvonareva;33.3935660507;10
508;Vera Zvonareva;33.9685147159;10
509;Vera Zvonareva;34.1026694045;10
510;Vera Zvonareva;34.1026694045;10
511;Vera Zvonareva;34.045174538000005;10
512;Vera Zvonareva;34.0260095825;10
513;Vera Zvonareva;33.8535249829;10
514;Vera Zvonareva;33.3935660507;10
515;Vera Zvonareva;33.8726899384;10
516;Vera Zvonareva;33.8151950719;10
517;Vera Zvonareva;33.9685147159;10
518;Vera Zvonareva;33.4893908282;10
519;Vera Zvonareva;34.1026694045;10
520;Vera Zvonareva;34.3134839151;10
521;Vera Zvonareva;34.3134839151;10
522;Vera Zvonareva;34.3134839151;10
523;Vera Zvonareva;34.3901437372;10
524;Vera Zvonareva;34.3901437372;10
525;Vera Zvonareva;34.3901437372;10
526;Vera Zvonareva;34.6392881588;15
527;Vera Zvonareva;34.6201232033;15
528;Vera Zvonareva;34.3134839151;10
529;Vera Zvonareva;34.3901437372;10
530;Vera Zvonareva;34.4476386037;10
531;Vera Zvonareva;34.715947980799996;15
532;Vera Zvonareva;34.658453114299995;15
533;Vera Zvonareva;35.4633812457;15
534;Vera Zvonareva;35.961670089;15
535;Vera Zvonareva;35.961670089;15
536;Vera Zvonareva;36.1724845996;15
537;Vera Zvonareva;35.4633812457;15
538;Vera Zvonareva;35.923340178000004;15
539;Vera Zvonareva;35.961670089;15
540;Vera Zvonareva;35.9808350445;15
541;Vera Zvonareva;36.0191649555;15
542;Vera Zvonareva;36.1724845996;15
543;Vera Zvonareva;36.3312799452;15
544;Vera Zvonareva;36.3997262149;15
545;Vera Zvonareva;36.3997262149;15
546;Vera Zvonareva;36.5174537988;15
547;Vera Zvonareva;36.5174537988;15
548;Vera Zvonareva;36.5174537988;15
549;Vera Zvonareva;36.613278576300004;15
550;Vera Zvonareva;36.670773442800005;15
551;Vera Zvonareva;36.670773442800005;15
552;Vera Zvonareva;36.8049281314;15
553;Vera Zvonareva;36.9582477755;15
554;Vera Zvonareva;36.3312799452;15
555;Vera Zvonareva;36.3997262149;15
556;Vera Zvonareva;36.4216290212;15
557;Vera Zvonareva;36.5174537988;15
558;Vera Zvonareva;36.613278576300004;15
559;Vera Zvonareva;36.6406570842;15
560;Vera Zvonareva;36.670773442800005;15
561;Vera Zvonareva;36.7857631759;15
562;Vera Zvonareva;36.8049281314;15
563;Vera Zvonareva;36.9582477755;15
564;Vera Zvonareva;36.977412731;15
565;Lourdes Dominguez Lino;35.0116358658;4
566;Lourdes Dominguez Lino;35.0116358658;4
567;Lourdes Dominguez Lino;35.0308008214;4
568;Lourdes Dominguez Lino;35.0116358658;4
569;Lourdes Dominguez Lino;35.0308008214;4
570;Lourdes Dominguez Lino;35.1457905544;4
571;Lourdes Dominguez Lino;34.8008213552;4
572;Lourdes Dominguez Lino;34.8966461328;4
573;Lourdes Dominguez Lino;34.9733059548;4
574;Lourdes Dominguez Lino;35.0882956879;4
575;Lourdes Dominguez Lino;34.8774811773;4
576;Anastasia Rodionova;33.954825461999995;4
577;Anastasia Rodionova;34.893908282;4
578;Anastasia Rodionova;34.893908282;4
579;Anastasia Rodionova;34.893908282;4
580;Shuai Peng;30.696783025300004;10
581;Shuai Peng;30.7542778919;10
582;Shuai Peng;30.7542778919;10
583;Shuai Peng;30.7542778919;10
584;Shuai Peng;30.7542778919;10
585;Shuai Peng;30.7542778919;10
586;Shuai Peng;30.1984941821;10
587;Shuai Peng;30.735112936300002;10
588;Shuai Peng;30.2368240931;10
589;Shuai Peng;30.696783025300004;10
590;Shuai Peng;30.4284736482;10
591;Shuai Peng;30.7159479808;10
592;Shuai Peng;30.409308692699998;10
593;Shuai Peng;30.466803559200002;10
594;Shuai Peng;30.6392881588;10
595;Shuai Peng;30.160164271;10
596;Shuai Peng;30.1984941821;10
597;Shuai Peng;30.735112936300002;10
598;Shuai Peng;30.5817932923;10
599;Shuai Peng;31.3675564682;10
600;Shuai Peng;31.3675564682;10
601;Shuai Peng;31.3675564682;10
602;Shuai Peng;31.6167008898;10
603;Shuai Peng;31.6167008898;10
604;Shuai Peng;31.1184120465;10
605;Shuai Peng;31.1184120465;10
606;Shuai Peng;31.693360711799997;10
607;Shuai Peng;31.1375770021;10
608;Shuai Peng;31.712525667399998;10
609;Shuai Peng;31.750855578400003;10
