;full_name;code;lettre;position;Age
491;DJ Wilson;wilsodj01;w;PF;25
492;Christian Wood;woodch01;w;C;25
493;Al-Farouq Aminu;aminual01;a;PF;30
494;Keita Bates-Diop;bateske01;b;SF;25
495;Zach Collins;colliza01;c;PF;23
496;Drew Eubanks;eubandr01;e;PF;24
497;Bryn Forbes;forbebr01;f;SG;28
498;Keldon Johnson;johnske04;j;SF;21
499;Tre Jones;jonestr01;j;PG;21
500;Jock Landale;landajo01;l;C;25
501;Doug McDermott;mcderdo01;m;SF;29
502;Dejounte Murray;murrade01;m;PG;24
503;Jakob Poeltl;poeltja01;p;C;25
504;Joshua Primo;primojo01;p;SG;18
505;Luka Samanic;samanlu01;s;PF;21
506;Devin Vassell;vassede01;v;SG;21
507;Lonnie Walker;walkelo01;w;SG;22
508;Derrick White;whitede01;w;PG;27
509;Joe Wieskamp;wieskjo01;w;SF;22
510;Thaddeus Young;youngth01;y;PF;33
511;Moses Brown;brownmo01;b;C;21
512;Sterling Brown;brownst02;b;SF;26
513;Jalen Brunson;brunsja01;b;PG;25
514;Reggie Bullock;bullore01;b;SF;30
515;Trey Burke;burketr01;b;PG;28
516;Willie Cauley-Stein;caulewi01;c;C;28
517;Luka Doncic;doncilu01;d;PG;22
518;Dorian Finney-Smith;finnedo01;f;PF;28
519;Josh Green;greenjo01;g;SG;20
520;Tim Hardaway;hardati02;h;SF;29
521;Feron Hunt;huntfe01;h;PF;22
522;Carlik Jones;jonesca01;j;PG;23
523;Maxi Kleber;klebima01;k;PF;29
524;Boban Marjanovic;marjabo01;m;C;33
525;JaQuori McLaughlin;mclauja01;m;G;23
526;Nicolo Melli;mellini01;m;PF;30
527;Eugene Omoruyi;omorueu01;o;SF;24
528;Kristaps Porzingis;porzikr01;p;C;26
529;Dwight Powell;poweldw01;p;C;30
530;JJ Redick;redicjj01;r;SG;37
531;Tyrell Terry;terryty01;t;PG;20
532;Nemanja Bjelica;bjeline01;b;PF;33
533;Chris Chiozza;chiozch01;c;F;25
534;Stephen Curry;curryst01;c;PG;33
535;Draymond Green;greendr01;g;PF;31
536;Andre Iguodala;iguodan01;i;F;37
537;Jonathan Kuminga;kuminjo01;k;PF;18
538;Damion Lee;leeda03;l;SG;28
539;Kevon Looney;looneke01;l;C;25
540;Moses Moody;moodymo01;m;SG;19
541;Mychal Mulder;muldemy01;m;SG;27
542;Gary Payton;paytoga01;p;PG;28
543;Jordan Poole;poolejo01;p;SG;22
544;Otto Porter;porteot01;p;SF;28
545;Klay Thompson;thompkl01;t;SG;31
546;Juan Toscano-Anderson;toscaju01;t;SF;28
547;Andrew Wiggins;wiggian01;w;SF;26
548;James Wiseman;wisemja01;w;C;20
549;Darius Bazley;bazleda01;b;PF;21
550;Charlie Brown;brownch02;b;SF;24
551;Charlie Brown;brownch02;b;F;24
552;Gabriel Deck;deckga01;d;SF;26
553;Luguentz Dort;dortlu01;d;SF;22
554;Derrick Favors;favorde01;f;C;30
555;Josh Giddey;giddejo01;g;SG;18
556;Shai Gilgeous-Alexander;gilgesh01;g;SG;23
557;Jaylen Hoard;hoardja01;h;SF;22
558;Ty Jerome;jeromty01;j;SG;24
559;Vit Krejci;krejcvi01;k;F;21
560;Theo Maledon;maledth01;m;PG;20
561;Tre Mann;manntr01;m;PG;20
562;Mike Muscala;muscami01;m;C;30
563;Aleksej Pokusevski;pokusal01;p;PF;19
564;Jeremiah Robinson-Earl;robinje01;r;PF;20
565;Isaiah Roby;robyis01;r;C;23
566;Aaron Wiggins;wiggiaa01;w;SG;22
567;Kenrich Williams;willike04;w;SF;26
568;Malik Beasley;beaslma01;b;SG;24
569;Patrick Beverley;beverpa01;b;PG;33
570;Ed Davis;davised01;d;C;32
571;Anthony Edwards;edwaran01;e;SF;20
572;Nathan Knight;knighna01;k;F;23
573;Jake Layman;laymaja01;l;SF;27
574;Jaden McDaniels;mcdanja01;m;PF;20
575;Jordan McLaughlin;mclaujo01;m;PG;25
576;Jaylen Nowell;nowelja01;n;SG;22
577;Josh Okogie;okogijo01;o;SF;23
578;Taurean Prince;princeta02;p;PF;27
579;Naz Reid;reidna01;r;C;22
580;DAngelo Russell;russeda01;r;PG;25
581;Karl-Anthony Towns;townska01;t;C;25
582;Jarred Vanderbilt;vandeja01;v;PF;22
583;McKinley Wright;wrighmc01;w;PG;22
