;full_name;Tm;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;POS;GS;code
49;CJ Elleby;por;8.473684210526315;3.0;1.0;21.0;2.736842105263158;0.47368421052631576;1.0526315789473684;0.32014947916017433;SG;0;SGpor0
50;CJ McCollum;por;35.166666666666664;3.0;3.0;30.0;17.833333333333332;1.8888888888888888;1.8333333333333333;0.2919754704483815;SG;1;SGpor1
51;Cade Cunningham;det;30.863636363636363;3.0;;20.0;13.772727272727273;3.5454545454545454;2.8636363636363638;0.23255914996740043;PG;1;PGdet1
52;Cam Reddish;ny;23.666666666666668;3.0;1.0;22.0;10.833333333333334;1.3333333333333333;1.375;0.17320901213943707;SF;0;SFny0
53;Cameron Johnson;pho;24.076923076923077;3.0;1.0;25.0;7.884615384615385;0.6538461538461539;1.5;0.2959604514218188;SF;0;SFpho0
54;Cameron Payne;pho;20.583333333333332;3.0;1.0;27.0;10.333333333333334;1.7916666666666667;1.8333333333333333;0.26435703925727244;PG;0;PGpho0
55;Caris LeVert;ind;29.925925925925927;3.0;3.0;27.0;15.185185185185185;1.8148148148148149;2.259259259259259;0.3287122297300152;SG;1;SGind1
56;Carmelo Anthony;lal;27.296296296296298;0.0;2.0;37.0;10.777777777777779;0.8518518518518519;2.2222222222222223;0.24540995711898453;PF;0;PFlal0
57;Cassius Stanley;det;22.333333333333332;3.0;0.0;22.0;6.5;1.0;2.1666666666666665;0.15826654712103627;G;0;Gdet0
58;Cassius Winston;wsh;2.5;3.0;;23.0;1.0;0.5;0.0;-0.16666666666666666;PG;0;PGwsh0
59;Cedi Osman;cle;23.0;3.0;1.0;26.0;9.217391304347826;1.0434782608695652;1.9565217391304348;0.17771893535171482;SF;0;SFcle0
60;Chandler Hutchison;;5.333333333333333;;2.0;25.0;0.6666666666666666;1.0;0.3333333333333333;0.4333333333333334;;0;nannan0
61;Charles Bassey;phi;8.615384615384615;3.0;1.0;20.846153846153847;2.6923076923076925;0.38461538461538464;1.4615384615384615;0.7088260423786739;C;0;Cphi0
62;Charlie Brown;phi;1.0;3.0;2.0;24.0;1.0;0.0;1.0;-0.3929512516469039;G;0;Gphi0
63;Chimezie Metu;sac;22.833333333333332;0.0;4.0;24.0;8.5;1.0555555555555556;1.4444444444444444;0.3706875214712904;PF;0;PFsac0
64;Chris Boucher;tor;17.708333333333332;3.0;1.0;28.041666666666668;6.958333333333333;0.8333333333333334;1.875;0.3150471317571359;PF;0;PFtor0
65;Chris Chiozza;gs;12.5;2.0;0.0;26.0;4.5;1.0;1.0;0.012674851144102479;G;0;Ggs0
66;Chris Duarte;ind;28.84375;3.0;4.0;24.0;11.84375;1.8125;1.8125;0.2393342418229698;SG;0;SGind0
