;Coach;Tm;Unnamed: 2;#;#.1;Unnamed: 5;G;W;L;G.1;W.1;L.1;G.2;W.2;L.2;W%;Unnamed: 16;G.3;W.3;L.3;G.4;W.4;L.4;G.5;W.5;L.5;annee
20;Stan Van Gundy;NOP;;1;13;;72;31;41;72;31;41;979;554;425;0.5660000000000001;;;;;;;;91.0;48.0;43.0;2021
21;Tom Thibodeau;NYK;;1;9;;72;41;31;72;41;31;670;393;277;0.5870000000000001;;5.0;1.0;4.0;5.0;1.0;4.0;61.0;25.0;36.0;2021
22;Mark Daigneault;OKC;;1;1;;72;22;50;72;22;50;72;22;50;0.306;;;;;;;;;;;2021
23;Steve Clifford;ORL;;3;8;;72;21;51;227;96;131;637;292;345;0.45799999999999996;;;;;10.0;2.0;8.0;21.0;5.0;16.0;2021
24;Doc Rivers;PHI;;1;22;;72;49;23;72;49;23;1696;992;704;0.585;;12.0;7.0;5.0;12.0;7.0;5.0;192.0;98.0;94.0;2021
25;Monty Williams;PHO;;2;7;;72;51;21;145;85;60;539;258;281;0.479;;22.0;14.0;8.0;22.0;14.0;8.0;32.0;16.0;16.0;2021
26;Terry Stotts;POR;;9;13;;72;42;30;720;402;318;1003;517;486;0.515;;6.0;2.0;4.0;62.0;22.0;40.0;67.0;23.0;44.0;2021
27;Luke Walton;SAC;;2;5;;72;31;41;144;62;82;390;160;230;0.41;;;;;;;;;;;2021
28;Gregg Popovich;SAS;;25;25;;72;33;39;1963;1310;653;1963;1310;653;0.667;;;;;284.0;170.0;114.0;284.0;170.0;114.0;2021
29;Nick Nurse;TOR;;3;3;;72;27;45;226;138;88;226;138;88;0.611;;;;;35.0;23.0;12.0;35.0;23.0;12.0;2021
30;Quin Snyder;UTA;;7;7;;72;52;20;554;323;231;554;323;231;0.583;;11.0;6.0;5.0;45.0;19.0;26.0;45.0;19.0;26.0;2021
31;Scott Brooks;WAS;;5;12;;72;34;38;390;183;207;935;521;414;0.557;;5.0;1.0;4.0;24.0;10.0;14.0;97.0;49.0;48.0;2021
0;Nate McMillan;ATL;;2;18;;46;21;25;84;48;36;1333;709;624;0.532;;;;;18.0;10.0;8.0;71.0;27.0;44.0;2022
1;Ime Udoka;BOS;;1;1;;48;24;24;48;24;24;48;24;24;0.5;;;;;;;;;;;2022
2;Steve Nash;BRK;;2;2;;46;29;17;118;77;41;118;77;41;0.653;;;;;12.0;7.0;5.0;12.0;7.0;5.0;2022
3;Billy Donovan;CHI;;2;7;;45;28;17;117;59;58;517;302;215;0.584;;;;;;;;41.0;18.0;23.0;2022
4;James Borrego;CHO;;4;5;;47;26;21;266;121;145;296;131;165;0.44299999999999995;;;;;;;;;;;2022
5;J.B. Bickerstaff;CLE;;3;6;;47;28;19;130;55;75;346;140;206;0.405;;;;;;;;5.0;1.0;4.0;2022
6;Jason Kidd;DAL;;1;6;;47;27;20;47;27;20;420;210;210;0.5;;;;;;;;24.0;9.0;15.0;2022
7;Michael Malone;DEN;;7;9;;45;24;21;518;290;228;624;329;295;0.527;;;;;43.0;20.0;23.0;43.0;20.0;23.0;2022
8;Dwane Casey;DET;;4;13;;46;11;35;266;92;174;946;465;481;0.49200000000000005;;;;;4.0;0.0;4.0;55.0;21.0;34.0;2022
9;Steve Kerr;GSW;;8;8;;47;34;13;594;410;184;594;410;184;0.69;;;;;105.0;77.0;28.0;105.0;77.0;28.0;2022
10;Stephen Silas;HOU;;2;2;;47;14;33;119;31;88;119;31;88;0.261;;;;;;;;;;;2022
11;Rick Carlisle;IND;;5;20;;47;17;30;375;198;177;1572;853;719;0.5429999999999999;;;;;35.0;18.0;17.0;133.0;63.0;70.0;2022
12;Tyronn Lue;LAC;;2;6;;48;23;25;120;70;50;331;198;133;0.598;;;;;19.0;10.0;9.0;80.0;51.0;29.0;2022
13;Frank Vogel;LAL;;3;11;;47;23;24;190;117;73;785;421;364;0.536;;;;;27.0;18.0;9.0;88.0;49.0;39.0;2022
14;Taylor Jenkins;MEM;;3;3;;49;32;17;194;104;90;194;104;90;0.536;;;;;5.0;1.0;4.0;5.0;1.0;4.0;2022
15;Erik Spoelstra;MIA;;14;14;;47;30;17;1078;637;441;1078;637;441;0.591;;;;;143.0;85.0;58.0;143.0;85.0;58.0;2022
16;Mike Budenholzer;MIL;;4;9;;49;30;19;276;192;84;686;405;281;0.59;;;;;48.0;31.0;17.0;87.0;48.0;39.0;2022
17;Chris Finch;MIN;;2;2;;46;23;23;87;39;48;87;39;48;0.44799999999999995;;;;;;;;;;;2022
18;Willie Green;NOP;;1;1;;45;17;28;45;17;28;45;17;28;0.37799999999999995;;;;;;;;;;;2022
19;Tom Thibodeau;NYK;;2;10;;47;23;24;119;64;55;717;416;301;0.58;;;;;5.0;1.0;4.0;61.0;25.0;36.0;2022
20;Mark Daigneault;OKC;;2;2;;46;14;32;118;36;82;118;36;82;0.305;;;;;;;;;;;2022
21;Jamahl Mosley;ORL;;1;1;;48;9;39;48;9;39;48;9;39;0.188;;;;;;;;;;;2022
22;Doc Rivers;PHI;;2;23;;46;27;19;118;76;42;1742;1019;723;0.585;;;;;12.0;7.0;5.0;192.0;98.0;94.0;2022
23;Monty Williams;PHO;;3;8;;45;36;9;190;121;69;584;294;290;0.503;;;;;22.0;14.0;8.0;32.0;16.0;16.0;2022
24;Chauncey Billups;POR;;1;1;;46;20;26;46;20;26;46;20;26;0.435;;;;;;;;;;;2022
25;Luke Walton;SAC;;3;6;;17;6;11;161;68;93;407;166;241;0.408;;;;;;;;;;;2022
26;Alvin Gentry;SAC;;1;18;;31;12;19;31;12;19;1136;522;614;0.46;;;;;;;;30.0;17.0;13.0;2022
27;Gregg Popovich;SAS;;26;26;;47;17;30;2010;1327;683;2010;1327;683;0.66;;;;;284.0;170.0;114.0;284.0;170.0;114.0;2022
28;Nick Nurse;TOR;;4;4;;44;22;22;270;160;110;270;160;110;0.593;;;;;35.0;23.0;12.0;35.0;23.0;12.0;2022
29;Quin Snyder;UTA;;8;8;;47;30;17;601;353;248;601;353;248;0.5870000000000001;;;;;45.0;19.0;26.0;45.0;19.0;26.0;2022
30;Wes Unseld Jr.;WAS;;1;1;;47;23;24;47;23;24;47;23;24;0.489;;;;;;;;;;;2022
