;full_name;Tm;POS;GS
211;DAngelo Russell;min;PG;1.0
212;Karl-Anthony Towns;min;C;1.0
213;Jarred Vanderbilt;min;PF;1.0
214;McKinley Wright;min;PG;0.0
215;Delon Wright;atl;SG;0.0
216;Moses Wright;dal;F;0.0
217;Bogdan Bogdanovic;atl;SG;1.0
218;Bojan Bogdanovic;utah;SF;1.0
219;Clint Capela;atl;C;1.0
220;John Collins;atl;PF;1.0
221;Zach Collins;sa;PF;1.0
222;Sharife Cooper;atl;PG;0.0
223;Gorgui Dieng;atl;C;0.0
224;Danilo Gallinari;atl;PF;0.0
225;Kevin Huerter;atl;SG;1.0
226;DeAndre Hunter;atl;SF;1.0
227;Kevin Knox;atl;F;0.0
228;Timothe Luwawu-Cabarrot;atl;SG;0.0
229;Skylar Mays;atl;SG;0.0
230;Onyeka Okongwu;atl;PF;0.0
231;Trae Young;atl;PG;1.0
232;Thaddeus Young;tor;PF;1.0
233;Bam Adebayo;mia;C;1.0
234;Jimmy Butler;mia;SF;1.0
235;Jared Butler;utah;SG;1.0
236;Dewayne Dedmon;mia;C;0.0
237;Marcus Garrett;mia;SG;0.0
238;Kyle Guy;mia;SG;0.0
239;Udonis Haslem;mia;PF;0.0
240;Tyler Herro;mia;PG;0.0
241;Haywood Highsmith;mia;F;0.0
242;Aric Holman;mia;F;0.0
243;Kyle Lowry;mia;PG;1.0
244;Markieff Morris;mia;PF;1.0
245;Markieff Morris;mia;PF;1.0
246;Marcus Morris;lac;SF;1.0
247;Marcus Morris;lac;SF;1.0
248;Monte Morris;den;PG;1.0
249;Monte Morris;den;PG;1.0
250;Victor Oladipo;mia;SG;0.0
251;Duncan Robinson;mia;SG;1.0
252;Duncan Robinson;mia;SG;1.0
253;Mitchell Robinson;ny;C;1.0
254;Mitchell Robinson;ny;C;1.0
255;Justin Robinson;det;F;1.0
256;Justin Robinson;det;F;1.0
257;Javonte Smart;mia;G;1.0
258;Marcus Smart;bos;PG;1.0
259;Max Strus;mia;SG;0.0
260;PJ Tucker;mia;PF;1.0
261;Gabe Vincent;mia;PG;0.0
262;Omer Yurtseven;mia;C;0.0
263;Precious Achiuwa;tor;PF;0.0
264;OG Anunoby;tor;SF;1.0
265;Dalano Banton;tor;PG;0.0
266;Khem Birch;tor;C;0.0
267;Isaac Bonga;tor;G;0.0
268;Chris Boucher;tor;PF;0.0
269;Justin Champagnie;tor;SF;0.0
270;Malachi Flynn;tor;PG;0.0
271;Svi Mykhailiuk;tor;SG;0.0
272;Pascal Siakam;tor;PF;1.0
273;Gary Trent;tor;SG;1.0
274;Fred VanVleet;tor;SG;1.0
275;Yuta Watanabe;tor;SF;0.0
276;DJ Wilson;tor;F;0.0
277;Nicolas Batum;lac;PF;1.0
278;Brandon Boston;lac;SG;0.0
279;Amir Coffey;lac;SG;1.0
280;Robert Covington;lac;PF;0.0
281;Paul George;lac;SG;0.0
282;Isaiah Hartenstein;lac;C;0.0
283;Rodney Hood;lac;SG;0.0
284;Luke Kennard;lac;SG;0.0
285;Kawhi Leonard;lac;SF;0.0
286;Xavier Moon;lac;PG;0.0
287;Semi Ojeleye;lac;PF;0.0
288;Norman Powell;lac;SF;1.0
289;Dwight Powell;dal;C;1.0
290;Myles Powell;phi;G;1.0
291;Jason Preston;lac;PG;0.0
292;Jay Scrubb;lac;SG;0.0
293;Ivica Zubac;lac;C;1.0
294;Lonzo Ball;chi;PG;1.0
295;LaMelo Ball;cha;PG;1.0
296;Tony Bradley;chi;C;0.0
297;Avery Bradley;lal;PG;0.0
298;Troy Brown;chi;SF;1.0
299;Troy Brown;chi;SF;1.0
300;Jaylen Brown;bos;SG;1.0
301;Jaylen Brown;bos;SG;1.0
302;Sterling Brown;dal;SF;1.0
303;Sterling Brown;dal;SF;1.0
304;Charlie Brown;phi;G;1.0
305;Charlie Brown;phi;G;1.0
306;Bruce Brown;bkn;SF;1.0
307;Bruce Brown;bkn;SF;1.0
308;Moses Brown;cle;C;1.0
309;Moses Brown;cle;C;1.0
310;Alex Caruso;chi;SG;0.0
311;Tyler Cook;chi;F;0.0
312;DeMar DeRozan;chi;SF;1.0
313;Ayo Dosunmu;chi;SG;1.0
314;Zach LaVine;chi;SG;1.0
315;Marko Simonovic;chi;C;0.0
316;Matt Thomas;chi;SG;0.0
317;Brodric Thomas;bos;G;0.0
318;Cam Thomas;bkn;SG;0.0
319;Isaiah Thomas;cha;G;0.0
320;Tristan Thompson;chi;C;1.0
321;Klay Thompson;gs;SG;1.0
322;Nikola Vucevic;chi;C;1.0
323;Coby White;chi;PG;0.0
324;Derrick White;bos;PG;0.0
325;Nemanja Bjelica;gs;PF;0.0
326;Chris Chiozza;gs;G;0.0
327;Stephen Curry;gs;PG;1.0
328;Seth Curry;bkn;SG;1.0
329;Andre Iguodala;gs;F;0.0
330;Jonathan Kuminga;gs;PF;0.0
331;Damion Lee;gs;SG;0.0
332;Saben Lee;det;PG;0.0
333;Kevon Looney;gs;C;1.0
334;Moses Moody;gs;SG;0.0
335;Jordan Poole;gs;SG;1.0
336;Juan Toscano-Anderson;gs;SF;0.0
337;Quinndary Weatherspoon;gs;SG;0.0
338;James Wiseman;gs;C;0.0
339;Ryan Arcidiacono;ny;G;0.0
340;RJ Barrett;ny;SG;1.0
341;Alec Burks;ny;SG;1.0
342;Evan Fournier;ny;SG;1.0
343;Taj Gibson;ny;C;0.0
344;Quentin Grimes;ny;SG;0.0
345;Feron Hunt;ny;F;0.0
346;Miles McBride;ny;PG;0.0
347;Nerlens Noel;ny;C;0.0
348;Immanuel Quickley;ny;SG;0.0
349;Julius Randle;ny;PF;1.0
350;Cam Reddish;ny;SF;0.0
351;Derrick Rose;ny;PG;0.0
352;Luka Samanic;ny;PF;0.0
353;Jericho Sims;ny;PF;0.0
354;Obi Toppin;ny;PF;0.0
355;Kemba Walker;ny;PG;0.0
356;Lonnie Walker;sa;SG;0.0
357;Malik Fitts;bos;F;0.0
358;Sam Hauser;bos;SF;0.0
359;Al Horford;bos;C;1.0
360;Luke Kornet;bos;F;0.0
361;Aaron Nesmith;bos;SF;0.0
362;Payton Pritchard;bos;PG;0.0
363;Matt Ryan;bos;F;0.0
364;Nik Stauskas;bos;G;0.0
365;Jayson Tatum;bos;SF;1.0
366;Daniel Theis;bos;C;0.0
367;Robert WilliamsI;bos;C;1.0
368;Eric Bledsoe;por;SG;0.0
369;Keljin Blevins;por;SF;0.0
370;Greg BrownI;por;PF;0.0
371;Jarron Cumberland;por;SG;0.0
372;Kris Dunn;por;PG;0.0
373;CJ Elleby;por;SG;0.0
374;Drew Eubanks;por;PF;1.0
375;Josh Hart;por;SG;1.0
376;Elijah Hughes;por;F;0.0
377;Joe Ingles;por;SG;0.0
378;Damian Lillard;por;PG;0.0
379;Nassir Little;por;SF;0.0
380;Didi Louzada;por;SF;0.0
381;Ben McLemore;por;SG;0.0
382;Jusuf Nurkic;por;C;0.0
383;Anfernee Simons;por;SG;1.0
384;Dennis Smith;por;PG;0.0
385;Jalen Smith;ind;F;0.0
386;Chris Smith;det;SF;0.0
387;Ish Smith;wsh;PG;0.0
388;Trendon Watford;por;PF;1.0
389;Justise Winslow;por;PF;1.0
390;Cody Zeller;por;C;0.0
391;Goga Bitadze;ind;C;0.0
392;Oshae Brissett;ind;SF;1.0
393;Malcolm Brogdon;ind;PG;1.0
394;Chris Duarte;ind;SG;0.0
